row_id,ICS209,sentence_summary,citation_link,platform,date,time,UNIQUE FACTS 
217,35,"Category 4 is so enormous EU scientist Alexnander Gerst said it could only be captured with a super wide-angle lens, 400 km directly above the eye. NASA Images",https://www.facebook.com/ScientificAmerican/posts/pfbid0YmNZRYuzj7VZgiSkb5R9WzU24X9pEdkU8gdZgAa36YzzfgmidPcEaEXBULmmcCvyl,Facebook,9/13/2018,2:00:00 PM,"Category 4 is so enormous EU scientist Alexnander Gerst said it could only be captured with a super wide-angle lens, 400 km directly above the eye. NASA Images"
213,28,"At 2 p.m. Eastern Daylight Time on September 12, the center of the storm was 435 miles (700 kilometers) southeast of Wilmington, North Carolina. The National Hurricane Center and U.S. Air Force reported sustained winds of 125 miles (205 kilometers) per hour, with a central pressure of 948 millibars.",https://www.facebook.com/nasaearth/posts/pfbid02bakYNTf5VZh7of11s9gEAwd4taCCeEPyW2VQTgNmSEZAo8nNcjPhRukg4Ab19NTUl,Facebook,9/13/2018,2:29:00 PM,"At 2 p.m. Eastern Daylight Time on September 12, the center of the storm was 435 miles (700 kilometers) southeast of Wilmington, North Carolina. The National Hurricane Center and U.S. Air Force reported sustained winds of 125 miles (205 kilometers) per hour, with a central pressure of 948 millibars."
221,36,Meteorologist Casey Lehecka news coverage ,https://fb.watch/iZTfiHWz_P/,Facebook,9/13/2018,7:03:00 PM,
228,35,Tropical storm-force winds lash the North Carolina coast as Hurricane Florence approaches,https://twitter.com/ABC/status/1040378592067170304?s=20,Twitter,9/13/2018,7:16:00 PM,Tropical storm-force winds lash the North Carolina coast as Hurricane Florence approaches
253,35,"Florence: 10 trillion gallons of precipitation: rushing rivers, severe flooding; geomorphology in action",https://twitter.com/rickheede/status/1040379790853849088?s=20,Twitter,9/13/2018,7:20:00 PM,Florence: 10 trillion gallons of precipitation
249,36,Hurricane #Florence getting a bit stronger before landfall,https://twitter.com/Kevin_Arnone/status/1040381212244758528?s=20,Twitter,9/13/2018,7:26:00 PM,Hurricane #Florence getting a bit stronger before landfall
260,34,"One hundred and five EMS Ambulances are on standby, with enough supplies to last up to 72 hours, as support for the Hurricane Florence relief efforts",https://twitter.com/NYCEMSwatch/status/1040381257090256897?s=20,Twitter,9/13/2018,7:26:00 PM,"One hundred and five EMS Ambulances are on standby, with enough supplies to last up to 72 hours, as support for the Hurricane Florence relief efforts"
237,34,"As Hurricane Florence moves away from majorly impacting the District, I have rescinded the state of emergency order.",https://twitter.com/MayorBowser/status/1040381551836626945?s=20,Twitter,9/13/2018,7:27:00 PM,"As Hurricane Florence moves away from majorly impacting the District, I have rescinded the state of emergency order."
241,30,"Flooding from Hurricane #Florence in New Bern, North Carolina",https://twitter.com/ChadBlue83/status/1040381434236727302?s=20,Twitter,9/13/2018,7:27:00 PM,"Flooding from Hurricane #Florence in New Bern, North Carolina"
251,36,"As Hurricane Florence began to lash the North Carolina coast on Thursday, heavy rain and high winds could cause difficult challenges for the 7,000 U.S. troops waiting to help with search-and-rescue efforts",https://twitter.com/starsandstripes/status/1040381437445197825?s=20,Twitter,9/13/2018,7:27:00 PM,"7,000 U.S. troops waiting to help with search-and-rescue efforts"
242,28,Hurricane Florence starts to hit Carolina coast,https://twitter.com/zaibatsu/status/1040381640449519617?s=20,Twitter,9/13/2018,7:28:00 PM,Hurricane Florence starts to hit Carolina coast
243,34,Oklahoma Taskforce 1 - Swift Water Rescue Team has been activated.  A 20 member team will deploy at 8:00 a.m tomorrow.,https://twitter.com/OKCFD/status/1040381621877309440?s=20,Twitter,9/13/2018,7:28:00 PM,Oklahoma Taskforce 1 - Swift Water Rescue Team has been activated.  A 20 member team will deploy at 8:00 a.m tomorrow.
229,36,#Hurricane #Florence has now been a named storm for 13 days,https://twitter.com/philklotzbach/status/1040382131715727360?s=20,Twitter,9/13/2018,7:30:00 PM,#Hurricane #Florence has now been a named storm for 13 days
250,36,Thankful the storm is now Category 2,https://twitter.com/JudgeJackson/status/1040382208048078848?s=20,Twitter,9/13/2018,7:30:00 PM,
226,35,"Powerful winds from Hurricane Florence are lashing Radio Island, NC, on Thursday night",https://twitter.com/NBCNews/status/1040382437144948736?s=20,Twitter,9/13/2018,7:31:00 PM,"Powerful winds from Hurricane Florence are lashing Radio Island, NC,"
232,34,Multiple disaster response teams from FL have deployed to help Hurricane Florence response and recovery efforts,https://twitter.com/SenRickScott/status/1040382594330841088?s=20,Twitter,9/13/2018,7:31:00 PM,Multiple disaster response teams from FL have deployed to help Hurricane Florence response and recovery efforts
227,35,Hurricane Florence has arrived at Camp Sea Gull,https://twitter.com/Camp_SeaGull/status/1040382646340263937,Twitter,9/13/2018,7:32:00 PM,Hurricane Florence has arrived at Camp Sea Gull
231,36,"Mayor Sammy Phillips tells Kate Bolduan he does not know if the structures in Jacksonville, NC will be able to handle the pending storm surge as a result of Hurricane Florence",https://twitter.com/OutFrontCNN/status/1040382765693317125?s=20,Twitter,9/13/2018,7:32:00 PM,"Mayor Sammy Phillips tells Kate Bolduan he does not know if the structures in Jacksonville, NC will be able to handle the pending storm surge as a result of Hurricane Florence"
240,36,essentially stalled out off the NC Coast...maintaining intensity with the warm Gulf Stream waters. The slow nature of the storm will be what drops torrential flooding rains and devastating storm surges,https://twitter.com/Met_khinz/status/1040382655093723136?s=20,Twitter,9/13/2018,7:32:00 PM,essentially stalled out off the NC Coast...maintaining intensity with the warm Gulf Stream waters
247,34,Chief Justice Martin Issues Order for Counties Subject to Mandatory Evacuation due to Hurricane Florence,https://twitter.com/NCCourts/status/1040382849818476549?s=20,Twitter,9/13/2018,7:32:00 PM,Chief Justice Martin Issues Order for Counties Subject to Mandatory Evacuation due to Hurricane Florence
230,34,The city is giving away free sandbags to city residents ahead of Hurricane Florence’s arrival. 10 per person and you need to show ID. Top of Broadway Pier in Fells Point.,https://twitter.com/y00lz/status/1040383529664823298?s=20,Twitter,9/13/2018,7:35:00 PM,
238,34,"As Hurricane Florence closes in on Myrtle Beach, South Carolina, one resident is on a mission to evacuate hundreds of pets before the storm strikes",https://twitter.com/NBCNews/status/1040383546660139011?s=20,Twitter,9/13/2018,7:35:00 PM,"Myrtle Beach, South Carolina, one resident is on a mission to evacuate hundreds of pets before the storm strikes"
244,36,"ABC News special LIVE coverage of Hurricane #Florence making landfall, TONIGHT 2amET",https://twitter.com/GMA/status/1040383552066646017?s=20,Twitter,9/13/2018,7:35:00 PM,"ABC News special LIVE coverage of Hurricane #Florence making landfall, TONIGHT 2amET"
245,28,"Northern eyewall of Hurricane #Florence strafing the NC coast, with a 97 mph wind gust at Cape Lookout, NC.",https://twitter.com/afreedma/status/1040386559726571522?s=20,Twitter,9/13/2018,7:37:00 PM,"Northern eyewall of Hurricane #Florence strafing the NC coast, with a 97 mph wind gust at Cape Lookout, NC."
248,28,Chief Justice Mark Martin issued an order just now declaring that catastrophic conditions resulting from Hurricane Florence currently exist in those counties subject to mandatory evacuation orders,https://twitter.com/NCLawyersWeekly/status/1040383936113913857?s=20,Twitter,9/13/2018,7:37:00 PM,
252,28,State of Emergency order for DC rescinded,https://twitter.com/wusa9/status/1040384316818317312?s=20,Twitter,9/13/2018,7:38:00 PM,
